id,version,timestamp,lat,lon,name,is_in,place,tourism,created_by,bus,highway,operator,public_transport,admin_level,capital,capital_ISO3166-1,is_capital,is_in:country_code,is_in:province,name:ace,name:af,name:am,name:an,name:ang,name:ar,name:ast,name:az,name:bcl,name:be,name:be-tarask,name:bg,name:bo,name:br,name:bs,name:ca,name:ceb,name:cs,name:cv,name:cy,name:da,name:de,name:diq,name:el,name:en,name:eo,name:es,name:et,name:eu,name:ext,name:fa,name:fi,name:fr,name:fy,name:gd,name:gl,name:he,name:hif,name:hr,name:ht,name:hu,name:hy,name:id,name:io,name:is,name:it,name:ja,name:ka,name:kn,name:ko,name:ku,name:kw,name:la,name:lij,name:lmo,name:lt,name:lv,name:mk,name:mr,name:ms,name:mt,name:nah,name:nan,name:nl,name:nov,name:oc,name:os,name:pap,name:pl,name:pms,name:pnb,name:pt,name:qu,name:rmy,name:ro,name:roa-rup,name:ru,name:rw,name:sah,name:sc,name:scn,name:sco,name:sh,name:sk,name:sl,name:sq,name:sr,name:srn,name:sv,name:sw,name:ta,name:tg,name:th,name:tl,name:tr,name:uk,name:ur,name:vec,name:vi,name:vo,name:war,name:yo,name:yue,name:zh,name:zh-Hans,name:zh-Hant,population,rank,ref:LOCODE,source:population,wikidata,wikipedia,amenity,description,exit_to,is_in:country,is_in:continent,population:date,population:source,postal_code,alt_name,int_name,note:capital,name:bpy,ia_capital,name:sr-Latn,source:name:oc,addr:housenumber,historic,ele,natural,cargo,ferry,man_made,name:ce,name:ml,name:nn,access,barrier,motor_vehicle
50031810,24,2020-12-06T22:58:33Z,12.5268736,-70.0356845,Oranjestad,,town,,,,,,,3,3,,state,,,,,,,,أورنجستاد,,,,Аран'естад,Араньестад,Оранестад,,,,,,,,,,,,Οράνιεστατ,Oranjestad,Oranjestado,,,,,,,Oranjestad,Oranjestêd,,,אורנייסטאד,,,,Oranjestad,,,,,,オラニエスタッド,ორანესტადი,,오랑예스타트,,,,,,Oranjestadas,,Орањестад,ओरांजेश्टाड,,,,,Oranjestad,,,Ораньестад,,,,,,,,,,Ораньестад,,,,,,,,,,Орањестад,,,,,,,,,Ораньєстад,اورنجسٹیڈ,,,,,,,奧拉涅斯塔德,,,35000,,AWORJ,,Q131243,"en:Oranjestad, Aruba",,,,,,,,,,,,,,,,,,,,,,,,,,,,
50033577,25,2020-11-18T03:30:01Z,12.1066695,-68.9351307,Willemstad,,town,,,,,,,,3,,territory,,,,,,,,يلمستاد,,Villemştad,,Вілемстад,Вілемстад,Вилемстад,,,,,,,,,,,,Βίλλεμσταντ,Willemstad,Vilemstado,,,,,,,Willemstad,Willemstêd,,,וילמסטאד,,,,Willemstad,,,,,,ウィレムスタッド,ვილემსტადი,,빌렘스타트,,,,,,Vilemstadas,,Вилемстад,विलेमश्टाड,,,,,,,,Виллемстад,,,,,,,,,,Виллемстад,,,,,,,,,,Вилемстад,,Willemstad,,,,วิลเลมสตัด,,,Віллемстад,ویلمسٹیڈ,,,,,,,威廉斯塔德,,,140000,,,,Q132679,nl:Willemstad (Curaçao),,,,,,,,,,,,,,,,,,,,,,,,,,,,
50034650,18,2019-10-06T15:27:39Z,12.1471741,-68.2740783,Kralendijk,,town,,,,,,,,8,,territory,,,,,,,,,,,,,,,,,,,,,,,,,,,Kralendijk,,,,,,,,Kralendijk,,,,,,,,Kralendijk,,,,,,,,,,,,,,,Kralendeikas,,Кралендајк,,,,,,Kralendijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,,,,Q331584,,,,,,,,,,Kralendijk,Kralendijk,"Bonaire is a subset (type Special municipality) of Bonaire, Sint Eustatius and Saba which is admin_level=8",,,,,,,,,,,,,,,,,
53200527,23,2019-08-04T16:55:27Z,18.465299,-66.116666,San Juan,,city,,,,,,,2,yes,,,PR,,,,,,,سان خوان، بورتوريكو,,San Xuan,,Сан-Хуан,Сан-Хуан,Сан Хуан,,,,,,,,,,,,Σαν Χουάν,San Juan,San-Juano,,,,,سان خوآن,,San Juan,,,"San Xoán, Porto Rico",סן חואן,,San Juan,,San Juan,Սան Խուան,,,,,サンフアン,სან-ხუანი,,산후안,,,,,,San Chuanas,Sanhuana,Сан Хуан,"सान हुआन, पोर्तो रिको","San Juan, Puerto Rico",,,,,,,Сан-Хуан,,San Juan,,,,,,,,Сан-Хуан,,,,,,,,,,Сан Хуан,,San Juan,,சான் வான்,,ซานฮวน,,,Сан-Хуан,سان جوآن,,,,,,,聖胡安,,,,,PRSJU,,Q41211,"en:San Juan, Puerto Rico",,,,Puerto Rico,Central America,,,,,,,"সান হুৱান, পুয়ের্তো রিকো",country,San Huan,,,,,,,,,,,,,,
53370352,6,2016-09-06T18:04:48Z,17.9360762,-76.8417961,Port Royal,,village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kingston 1,,,,,,,,,,,,,,,,,,,,
53371112,27,2020-12-06T22:58:33Z,17.9712148,-76.7928128,Kingston,,city,,,,,,,2,yes,,country,JM,,,,ኪንግስቶን,,Cyninȝestūn,كينغستون,,Kinqston,,Кінгстан,Кінгстан,Кингстън,ཁིང་སི་ཐོན།,,,,,,Кингстон,,,Kingston,,Κίνγκστον,Kingston,Kingstono,Kingston,,,,کینگستون,,Kingston,,Kingston,,קינגסטון,,,Kinstòn,Kingston,Քինգստոն,,,Kingston,,キングストン,კინგსტონი,,킹스턴,,,Regiopolis,,,Kingstonas,Kingstona,Кингстон,किंग्स्टन,,,,,,,Kingston,Кингстон,,Kingstone,,,,,,,,Кингстон,,Киҥстон,,,,,,,,Кингстон,,Kingston,,கிங்ஸ்டன்,,คิงส์ตัน,,,Кінгстон,کنگسٹن,,,,,,,金斯敦,,,660000,,JMKIN,,Q34692,de:Kingston (Jamaika),,,,Jamaica,Central America,,,,,,,,,,Lo Congrès,,,,,,,,,,,,,
54001340,3,2018-03-26T21:16:04Z,23.1390186,-82.3561501,Appt building 154,,,apartment,Potlatch alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,
105483660,5,2019-11-22T18:27:57Z,11.2195684,-85.6099005,Mojón XIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boundary_stone,,,,,,,,,,,
105499485,3,2017-05-26T02:27:52Z,14.4067475,-89.5104824,"Confluencia del Río Angue, Nejapa, o Grande, con el Río Anguiatú",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105500110,7,2018-01-15T19:30:52Z,14.3793072,-89.5811361,Mojón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monument,,,,,,,,,,,
